hour;linkID;link_type;start_node;end_node;flowrate;velocity;status
2:00:00;10167;Pipe;8662;8664;0.00428040;0.13199188;1
2:00:00;10169;Pipe;8660;8666;0.00747482;0.23049599;1
2:00:00;10171;Pipe;8666;8668;0.00707245;0.21808828;1
2:00:00;10173;Pipe;8668;8670;0.00514236;0.15857147;1
2:00:00;10175;Pipe;8670;8672;0.00457484;0.14107135;1
2:00:00;10177;Pipe;8672;8674;-0.01369502;0.42230418;1
2:00:00;10179;Pipe;8674;8676;-0.01405337;0.43335435;1
2:00:00;10181;Pipe;8676;8678;-0.01643097;0.50667092;1
2:00:00;10183;Pipe;8678;8680;-0.02647506;0.81639376;1
2:00:00;10185;Pipe;8680;8682;-0.02948092;0.90908349;1
2:00:00;10187;Pipe;8682;8684;-0.03765805;1.16123620;1
2:00:00;10189;Pipe;8684;8686;-0.04203959;1.29634661;1
2:00:00;10191;Pipe;8686;8640;-0.04382118;1.35128431;1
2:00:00;10193;Pipe;8642;8688;0.00666253;0.20544786;1
2:00:00;10195;Pipe;8642;8690;0.01841733;0.56792290;1
2:00:00;10197;Pipe;8690;8692;0.01746659;0.53860553;1
2:00:00;10199;Pipe;8692;8694;0.01296829;0.39989445;1
2:00:00;10201;Pipe;8694;8696;0.01076582;0.33197832;1
2:00:00;10203;Pipe;8696;8698;-0.00699614;0.21573543;1
2:00:00;10205;Pipe;8698;8700;-0.01085179;0.33462949;1
2:00:00;10207;Pipe;8700;8648;-0.01360618;0.41956479;1
2:00:00;10209;Pipe;8696;8702;0.01666201;0.51379539;1
2:00:00;10211;Pipe;8702;8704;0.01302198;0.40155022;1
2:00:00;10213;Pipe;8704;8706;0.01064227;0.32816859;1
2:00:00;10215;Pipe;8706;8708;0.00549207;0.16935537;1
2:00:00;10219;Pipe;8710;8712;0.00695535;0.21447749;1
2:00:00;10221;Pipe;8712;8714;0.00325543;0.10038540;1
2:00:00;10223;Pipe;8678;8716;0.00854151;0.26338886;1
2:00:00;10225;Pipe;8716;8718;0.00581773;0.17939732;1
2:00:00;10227;Pipe;8718;8720;0.00317555;0.09792219;1
2:00:00;10229;Pipe;8672;8722;0.01644546;0.50711764;1
2:00:00;10231;Pipe;8722;8724;0.00858568;0.26475078;1
2:00:00;10233;Pipe;8724;8726;0.00669148;0.20634082;1
2:00:00;10235;Pipe;8726;8728;0.00460017;0.14185222;1
2:00:00;10237;Pipe;8728;8730;0.00151783;0.04680426;1
2:00:00;10239;Pipe;8730;8732;0.00090643;0.02795108;1
2:00:00;10241;Pipe;8722;8734;0.00497116;0.15329242;1
2:00:00;10243;Pipe;8734;8792;0.00383578;0.11828124;1
2:00:00;10245;Pipe;8736;8726;-0.00077536;0.02390933;1
2:00:00;10247;Pipe;8688;8738;0.00226474;0.27934462;1
2:00:00;10249;Pipe;8708;8740;0.00095448;0.11773120;1
2:00:00;10251;Pipe;8714;8742;0.00216705;0.26729493;1
2:00:00;10253;Pipe;8720;8744;0.00176971;0.21828556;1
2:00:00;10255;Pipe;8732;8746;0.00089910;0.11089956;1
2:00:00;10257;Pipe;8710;8682;-0.00699572;0.21572228;1
2:00:00;10305;Pipe;8792;8736;0.00232276;0.07162544;1
2:00:00;11059;Pipe;9402;4922;0.21078084;0.23581706;1
2:00:00;11067;Pipe;9410;8596;0.19909188;0.43656983;1
2:00:00;5359;Pipe;4922;9410;0.20304302;0.69567801;1
2:00:00;6210;Pipe;5656;4922;-0.00168375;0.00369215;1
2:00:00;P153;Pipe;J106;9402;0.21956585;0.24564555;1
2:00:00;P387;Pipe;J106;7384;-0.22320289;0.24971459;1
3:00:00;10101;Pipe;8596;8598;0.20569041;2.81899458;1
3:00:00;10103;Pipe;8598;8600;0.17889548;2.45176908;1
3:00:00;10105;Pipe;8600;8602;0.17881416;2.45065451;1
3:00:00;10107;Pipe;8598;8604;0.02402096;0.74071834;1
3:00:00;10109;Pipe;8604;8606;0.02018659;0.62248040;1
3:00:00;10111;Pipe;8606;8608;0.01987614;0.61290738;1
3:00:00;10113;Pipe;8608;8610;0.01129445;0.34827955;1
3:00:00;10115;Pipe;8610;8612;0.00621804;0.19174151;1
3:00:00;10117;Pipe;8612;8614;0.00378680;0.11677105;1
3:00:00;10119;Pipe;8602;8616;0.16981548;3.35135133;1
3:00:00;10121;Pipe;8616;8618;0.16502311;3.25677277;1
3:00:00;10123;Pipe;8618;8620;0.15503219;3.05959933;1
3:00:00;10125;Pipe;8620;8622;0.14778995;2.91667200;1
3:00:00;10127;Pipe;8622;8624;0.14154812;2.79348783;1
3:00:00;10129;Pipe;8624;8626;0.13391088;2.64276511;1
3:00:00;10131;Pipe;8626;8628;0.13322594;2.62924758;1
3:00:00;10133;Pipe;8628;8630;0.08181832;1.61470529;1
3:00:00;10135;Pipe;8630;8632;0.07964585;1.57183097;1
3:00:00;10137;Pipe;8632;8634;0.07495875;1.47932994;1
3:00:00;10139;Pipe;8634;8636;0.07062875;1.39387626;1
3:00:00;10141;Pipe;8636;8638;0.06963348;1.37423427;1
3:00:00;10143;Pipe;8638;8640;0.06529346;1.28858284;1
3:00:00;10145;Pipe;8640;8642;0.02329078;0.45964939;1
3:00:00;10147;Pipe;8628;8644;0.04995518;1.54043454;1
3:00:00;10149;Pipe;8644;8646;0.04532774;1.39774134;1
3:00:00;10151;Pipe;8646;8648;0.04414942;1.36140620;1
3:00:00;10153;Pipe;8648;8650;0.02851298;0.87923579;1
3:00:00;10155;Pipe;8650;8652;0.02513454;0.77505688;1
3:00:00;10157;Pipe;8652;8654;0.02407939;0.74252004;1
3:00:00;10159;Pipe;8654;8656;0.02251716;0.69434653;1
3:00:00;10161;Pipe;8656;8658;0.01941480;0.59868114;1
3:00:00;10163;Pipe;8658;8660;0.01940667;0.59843066;1
3:00:00;10165;Pipe;8660;8662;0.00597494;0.18424535;1
3:00:00;10167;Pipe;8662;8664;0.00236072;0.07279580;1
3:00:00;10169;Pipe;8660;8666;0.01071091;0.33028508;1
3:00:00;10171;Pipe;8666;8668;0.00768310;0.23691856;1
